tarif_adi,beslenme_turu,malzemeler,pisirme_suresi,ev_aletleri,kalori
Glutensiz Lahmacun,glutensiz beslenme,"{'kıyma': '300g', 'glutensiz lahmacun hamuru': '4 adet', 'domates': '2 adet', 'biber': '1 adet', 'soğan': '1 adet', 'maydanoz': 'bir avuç', 'zeytinyağı': '3 yemek kaşığı', 'kimyon': '1 çay kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",25 dakika,"['fırın', 'fırın tepsisi', 'tava', 'bıçak']",280 kcal
Çiğ Havuçlu Ballar,çiğ beslenme,"{'havuç': '2 adet', 'hindistancevizi': '1 su bardağı', 'badem unu': '1 su bardağı', 'hindistan cevizi yağı': '3 yemek kaşığı', 'bal': '3 yemek kaşığı', 'vanilya özütü': '1 çay kaşığı', 'tarçın': 'yarım çay kaşığı'}",1 saat,"['blender', 'karıştırma kabı']",200 kcal
Fırında Enginar Gratine,klimateryen beslenme,"{'enginar': '4 adet', 'rendelenmiş kaşar peyniri': '100g', 'krema': '200ml', 'sarımsak': '3 diş', 'taze kekik': 'bir avuç', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",40 dakika,"['fırın', 'fırın tepsisi', 'tencere', 'bıçak']",260 kcal
Diyabetik Pancake,diyabetik beslenme,"{'yulaf unu': '1 su bardağı', 'yumurta': '2 adet', 'yoğurt': '150ml', 'tarçın': '1 çay kaşığı', 'vanilya özütü': 'yarım çay kaşığı', 'kabartma tozu': '1 çay kaşığı', 'tuz': 'çeyrek çay kaşığı', 'zeytinyağı': '2 yemek kaşığı'}",15 dakika,"['tava', 'karıştırma kabı']",180 kcal
Keto Brokoli Salatası,ketojenik beslenme,"{'brokoli': '1 baş', 'avokado': '1 adet', 'hindistancevizi': 'bir avuç', 'tahin': '2 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",15 dakika,"['tencere', 'bıçak']",230 kcal
Vejetaryen Mercimek Köftesi,vejetaryen beslenme,"{'kırmızı mercimek': '1 su bardağı', 'soğan': '1 adet', 'taze yeşil soğan': 'bir avuç', 'maydanoz': 'bir avuç', 'domates salçası': '2 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'karabiber': 'yarım çay kaşığı', 'kimyon': 'yarım çay kaşığı', 'tuz': '1 çay kaşığı'}",30 dakika,"['tencere', 'karıştırma kabı']",180 kcal
Çiğ Havuçlu Enerji Topları,çiğ beslenme,"{'havuç': '2 adet', 'hindistancevizi': '1 su bardağı', 'badem unu': '1 su bardağı', 'hindistan cevizi yağı': '3 yemek kaşığı', 'hindistan cevizi sütü': '3 yemek kaşığı', 'bal': '3 yemek kaşığı', 'vanilya özütü': '1 çay kaşığı'}",1 saat,"['blender', 'karıştırma kabı']",210 kcal
Glutensiz Karides Risotto,glutensiz beslenme,"{'karides': '300g', 'pirinç': '1 su bardağı', 'kabak': '1 adet', 'soğan': '1 adet', 'sarısömürge mantarı': '100g', 'beyaz şarap': '100ml', 'tavuk suyu': '500ml', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",40 dakika,"['tencere', 'tava', 'bıçak']",290 kcal
Klimateryen Nohut Salatası,klimateryen beslenme,"{'nohut': '1 su bardağı', 'domates': '2 adet', 'salatalık': '1 adet', 'maydanoz': 'bir avuç', 'biber': '1 adet', 'soğan': '1 adet', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",15 dakika,"['tencere', 'bıçak']",230 kcal
Diyabetik Çikolatalı Kek,diyabetik beslenme,"{'kabak': '2 su bardağı', 'hindistancevizi unu': '1 su bardağı', 'kakao tozu': '3 yemek kaşığı', 'yumurta': '3 adet', 'bal': '3 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'vanilya özütü': '1 çay kaşığı', 'kabartma tozu': '1 çay kaşığı', 'tuz': 'çeyrek çay kaşığı'}",45 dakika,"['fırın', 'kek kalıbı', 'karıştırma kabı']",200 kcal
Pesketaryen Ton Balığı Salatası,pesketaryen beslenme,"{'ton balığı': '200g', 'marul': 'bir avuç', 'domates': '2 adet', 'salatalık': '1 adet', 'kornişon turşu': '4 adet', 'zeytinyağı': '2 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",10 dakika,"['bıçak', 'karıştırma kabı']",220 kcal
Fonksiyonel Bezelye Çorbası,fonksiyonel beslenme,"{'bezelye': '500g', 'soğan': '1 adet', 'sarımsak': '2 diş', 'zeytinyağı': '2 yemek kaşığı', 'taze nane': 'bir avuç', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",25 dakika,"['tencere', 'blender', 'bıçak']",160 kcal
Keto Fırında Tavuk Parmesan,ketojenik beslenme,"{'tavuk göğsü': '4 adet', 'domates sosu': '200ml', 'rendelenmiş parmesan peyniri': '100g', 'taco baharatı': '1 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı'}",30 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",300 kcal
Vejetaryen Sebzeli Pilav,vejetaryen beslenme,"{'pirinç': '2 su bardağı', 'su': '4 su bardağı', 'bezelye': '1 su bardağı', 'havuç': '2 adet', 'soğan': '1 adet', 'sarımsak': '2 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",20 dakika,"['tencere', 'bıçak']",250 kcal
Glutensiz Kabaklı Muffin,glutensiz beslenme,"{'kabak': '2 su bardağı', 'badem unu': '1 su bardağı', 'yumurta': '3 adet', 'bal': '3 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'vanilya özütü': '1 çay kaşığı', 'kabartma tozu': '1 çay kaşığı', 'tarçın': 'yarım çay kaşığı'}",25 dakika,"['fırın', 'muffin kalıbı', 'karıştırma kabı']",220 kcal
Vegan Quinoa Salatası,vegan beslenme,"{'kinoa': '1 su bardağı', 'domates': '2 adet', 'salatalık': '1 adet', 'marul': 'bir avuç', 'biber': '1 adet', 'maydanoz': 'bir avuç', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",20 dakika,"['tencere', 'bıçak']",240 kcal
Keto Hindi Fajitas,ketojenik beslenme,"{'hindi göğsü': '400g', 'biber': '2 adet', 'soğan': '1 adet', 'mısır tortillası': '4 adet', 'avokado': '1 adet', 'limon': '1 adet', 'taco baharatı': '2 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",30 dakika,"['tava', 'bıçak']",310 kcal
Glutensiz Lahmacun,glutensiz beslenme,"{'kıyma': '300g', 'glutensiz lahmacun hamuru': '4 adet', 'domates': '2 adet', 'biber': '1 adet', 'soğan': '1 adet', 'maydanoz': 'bir avuç', 'zeytinyağı': '3 yemek kaşığı', 'kimyon': '1 çay kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",25 dakika,"['fırın', 'fırın tepsisi', 'tava', 'bıçak']",280 kcal
Çiğ Havuçlu Ballar,çiğ beslenme,"{'havuç': '2 adet', 'hindistancevizi': '1 su bardağı', 'badem unu': '1 su bardağı', 'hindistan cevizi yağı': '3 yemek kaşığı', 'bal': '3 yemek kaşığı', 'vanilya özütü': '1 çay kaşığı', 'tarçın': 'yarım çay kaşığı'}",1 saat,"['blender', 'karıştırma kabı']",200 kcal
Fırında Enginar Gratine,klimateryen beslenme,"{'enginar': '4 adet', 'rendelenmiş kaşar peyniri': '100g', 'krema': '200ml', 'sarımsak': '3 diş', 'taze kekik': 'bir avuç', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",40 dakika,"['fırın', 'fırın tepsisi', 'tencere', 'bıçak']",260 kcal
Diyabetik Pancake,diyabetik beslenme,"{'yulaf unu': '1 su bardağı', 'yumurta': '2 adet', 'yoğurt': '150ml', 'tarçın': '1 çay kaşığı', 'vanilya özütü': 'yarım çay kaşığı', 'kabartma tozu': '1 çay kaşığı', 'tuz': 'çeyrek çay kaşığı', 'zeytinyağı': '2 yemek kaşığı'}",15 dakika,"['tava', 'karıştırma kabı']",180 kcal
Keto Brokoli Salatası,ketojenik beslenme,"{'brokoli': '1 baş', 'avokado': '1 adet', 'hindistancevizi': 'bir avuç', 'tahin': '2 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",15 dakika,"['tencere', 'bıçak']",230 kcal
Vejetaryen Mercimek Köftesi,vejetaryen beslenme,"{'kırmızı mercimek': '1 su bardağı', 'soğan': '1 adet', 'taze yeşil soğan': 'bir avuç', 'maydanoz': 'bir avuç', 'domates salçası': '2 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'karabiber': 'yarım çay kaşığı', 'kimyon': 'yarım çay kaşığı', 'tuz': '1 çay kaşığı'}",30 dakika,"['tencere', 'karıştırma kabı']",180 kcal
Çiğ Havuçlu Enerji Topları,çiğ beslenme,"{'havuç': '2 adet', 'hindistancevizi': '1 su bardağı', 'badem unu': '1 su bardağı', 'hindistan cevizi yağı': '3 yemek kaşığı', 'hindistan cevizi sütü': '3 yemek kaşığı', 'bal': '3 yemek kaşığı', 'vanilya özütü': '1 çay kaşığı'}",1 saat,"['blender', 'karıştırma kabı']",210 kcal
Glutensiz Karides Risotto,glutensiz beslenme,"{'karides': '300g', 'pirinç': '1 su bardağı', 'kabak': '1 adet', 'soğan': '1 adet', 'sarısömürge mantarı': '100g', 'beyaz şarap': '100ml', 'tavuk suyu': '500ml', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",40 dakika,"['tencere', 'tava', 'bıçak']",290 kcal
Klimateryen Nohut Salatası,klimateryen beslenme,"{'nohut': '1 su bardağı', 'domates': '2 adet', 'salatalık': '1 adet', 'maydanoz': 'bir avuç', 'biber': '1 adet', 'soğan': '1 adet', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",15 dakika,"['tencere', 'bıçak']",230 kcal
Diyabetik Çikolatalı Kek,diyabetik beslenme,"{'kabak': '2 su bardağı', 'hindistancevizi unu': '1 su bardağı', 'kakao tozu': '3 yemek kaşığı', 'yumurta': '3 adet', 'bal': '3 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'vanilya özütü': '1 çay kaşığı', 'kabartma tozu': '1 çay kaşığı', 'tuz': 'çeyrek çay kaşığı'}",45 dakika,"['fırın', 'kek kalıbı', 'karıştırma kabı']",200 kcal
Pesketaryen Ton Balığı Salatası,pesketaryen beslenme,"{'ton balığı': '200g', 'marul': 'bir avuç', 'domates': '2 adet', 'salatalık': '1 adet', 'kornişon turşu': '4 adet', 'zeytinyağı': '2 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",10 dakika,"['bıçak', 'karıştırma kabı']",220 kcal
Fonksiyonel Bezelye Çorbası,fonksiyonel beslenme,"{'bezelye': '500g', 'soğan': '1 adet', 'sarımsak': '2 diş', 'zeytinyağı': '2 yemek kaşığı', 'taze nane': 'bir avuç', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",25 dakika,"['tencere', 'blender', 'bıçak']",160 kcal
Keto Fırında Tavuk Parmesan,ketojenik beslenme,"{'tavuk göğsü': '4 adet', 'domates sosu': '200ml', 'rendelenmiş parmesan peyniri': '100g', 'taco baharatı': '1 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı'}",30 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",300 kcal
Vejetaryen Sebzeli Pilav,vejetaryen beslenme,"{'pirinç': '2 su bardağı', 'su': '4 su bardağı', 'bezelye': '1 su bardağı', 'havuç': '2 adet', 'soğan': '1 adet', 'sarımsak': '2 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",20 dakika,"['tencere', 'bıçak']",250 kcal
Glutensiz Kabaklı Muffin,glutensiz beslenme,"{'kabak': '2 su bardağı', 'badem unu': '1 su bardağı', 'yumurta': '3 adet', 'bal': '3 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'vanilya özütü': '1 çay kaşığı', 'kabartma tozu': '1 çay kaşığı', 'tarçın': 'yarım çay kaşığı'}",25 dakika,"['fırın', 'muffin kalıbı', 'karıştırma kabı']",220 kcal
Vegan Karalahana Dolması,vegan beslenme,"{'karalahana yaprağı': '8 adet', 'pirinç': '1 su bardağı', 'soğan': '1 adet', 'taze nane': 'bir avuç', 'taze dereotu': 'bir avuç', 'domates salçası': '2 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",40 dakika,"['tencere', 'bıçak']",190 kcal
Keto Patlıcan Kuleleri,ketojenik beslenme,"{'patlıcan': '2 adet', 'kıyma': '300g', 'domates': '2 adet', 'sarımsak': '3 diş', 'rendelenmiş kaşar peyniri': '100g', 'taco baharatı': '1 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",45 dakika,"['fırın', 'fırın tepsisi', 'tava', 'bıçak']",270 kcal
Pesketaryen Somon Füme,pesketaryen beslenme,"{'somon fileto': '400g', 'tuz': '3 yemek kaşığı', 'beyaz şeker': '3 yemek kaşığı', 'biber': '1 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı'}",24 saat,"['fırın', 'fırın tepsisi', 'karıştırma kabı']",290 kcal
Fonksiyonel Pancar Salatası,fonksiyonel beslenme,"{'pancar': '2 adet', 'yoğurt': '200ml', 'dill': 'bir avuç', 'ceviz': 'bir avuç', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",40 dakika,"['fırın', 'karıştırma kabı', 'bıçak']",180 kcal
Diyabetik Elmalı Krep,diyabetik beslenme,"{'tam buğday unu': '1 su bardağı', 'yumurta': '2 adet', 'süt': '200ml', 'elma': '1 adet', 'tarçın': '1 çay kaşığı', 'vanilya özütü': 'yarım çay kaşığı', 'zeytinyağı': '2 yemek kaşığı', 'tuz': 'çeyrek çay kaşığı'}",20 dakika,"['tava', 'karıştırma kabı']",170 kcal
Keto Kuşkonmazlı Salata,ketojenik beslenme,"{'kuşkonmaz': '200g', 'avokado': '1 adet', 'hardal': '1 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",15 dakika,"['tencere', 'bıçak']",220 kcal
Vejetaryen Karnabahar Köri,vejetaryen beslenme,"{'karnabahar': '1 baş', 'soğan': '1 adet', 'sarımsak': '3 diş', 'zeytinyağı': '3 yemek kaşığı', 'hindistan cevizi sütü': '400ml', 'kırmızı mercimek': '1 su bardağı', 'kırmızı biber': '1 adet', 'kari baharatı': '1 yemek kaşığı', 'tuz': '1 çay kaşığı'}",35 dakika,"['tencere', 'tava', 'bıçak']",250 kcal
Glutensiz Kinoa Salatası,glutensiz beslenme,"{'kinoa': '1 su bardağı', 'domates': '2 adet', 'salatalık': '1 adet', 'marul': 'bir avuç', 'biber': '1 adet', 'maydanoz': 'bir avuç', 'zeytinyağı': '3 yemek kaşığı', 'limon suyu': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",20 dakika,"['tencere', 'bıçak']",240 kcal
Vegan Mantar Burger,vegan beslenme,"{'mantar': '400g', 'tam buğday ekmeği': '4 dilim', 'avokado': '1 adet', 'domates': '2 adet', 'taze marul': 'bir avuç', 'soğan': '1 adet', 'zeytinyağı': '3 yemek kaşığı', 'hardal': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",30 dakika,"['tava', 'bıçak']",220 kcal
Keto Kıymalı Kabak Makarnası,ketojenik beslenme,"{'kabak': '2 adet', 'kıyma': '300g', 'domates sosu': '200ml', 'sarımsak': '3 diş', 'rendelenmiş parmesan peyniri': '100g', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",30 dakika,"['tava', 'bıçak']",290 kcal
Fonksiyonel Ispanaklı Omlet,fonksiyonel beslenme,"{'yumurta': '3 adet', 'ıspanak': '100g', 'peynir': '50g', 'sarımsak': '1 diş', 'zeytinyağı': '2 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",15 dakika,"['tava', 'karıştırma kabı', 'bıçak']",220 kcal
Diyabetik Fıstık Ezmesi Smoothie,diyabetik beslenme,"{'fıstık ezmesi': '2 yemek kaşığı', 'muz': '1 adet', 'yulaf ezmesi': '3 yemek kaşığı', 'badem sütü': '300ml', 'tarçın': 'yarım çay kaşığı', 'bal': '1 yemek kaşığı'}",5 dakika,['blender'],280 kcal
Keto Brokoli Çorbası,ketojenik beslenme,"{'brokoli': '1 baş', 'krema': '200ml', 'tavuk suyu': '500ml', 'sarımsak': '3 diş', 'rendelenmiş kaşar peyniri': '100g', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",30 dakika,"['tencere', 'blender', 'bıçak']",250 kcal
Keto Hindi Güveç,ketojenik beslenme,"{'hindi göğsü': '500g', 'brokoli': '1 baş', 'sarımsak': '3 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı', 'limon suyu': '2 yemek kaşığı', 'rendelenmiş parmesan peyniri': '100g'}",40 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",310 kcal
Vejetaryen Nohut Kavurma,vejetaryen beslenme,"{'nohut': '2 su bardağı', 'soğan': '2 adet', 'domates': '2 adet', 'yeşil biber': '1 adet', 'sarı biber': '1 adet', 'sıvı yağ': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı', 'kimyon': 'yarım çay kaşığı'}",30 dakika,"['tava', 'spatula']",220 kcal
Glutensiz Fındıklı Ekmek,glutensiz beslenme,"{'fındık unu': '2 su bardağı', 'yumurta': '4 adet', 'süt': '200ml', 'bal': '3 yemek kaşığı', 'kabartma tozu': '1 çay kaşığı', 'tuz': 'çeyrek çay kaşığı', 'zeytinyağı': '2 yemek kaşığı'}",45 dakika,"['fırın', 'ekmek kalıbı', 'karıştırma kabı']",240 kcal
Vegan Kaju Peynir,vegan beslenme,"{'kaju': '1 su bardağı', 'limon suyu': '3 yemek kaşığı', 'su': 'yarım su bardağı', 'sarımsak tozu': 'yarım çay kaşığı', 'soğan tozu': 'yarım çay kaşığı', 'maya': 'yarım çay kaşığı', 'tuz': 'yarım çay kaşığı'}",10 dakika,"['blender', 'kap']",180 kcal
Klimateryen Kinoa Salatası,klimateryen beslenme,"{'kinoa': '1 su bardağı', 'kırmızı biber': '1 adet', 'salatalık': '1 adet', 'taze nane': 'bir avuç', 'limon suyu': '2 yemek kaşığı', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",20 dakika,"['tencere', 'bıçak']",220 kcal
Diyabetik Ananas Smoothie,diyabetik beslenme,"{'ananas': '1 su bardağı', 'yoğurt': '200ml', 'badem sütü': '200ml', 'bal': '2 yemek kaşığı', 'tarçın': 'yarım çay kaşığı'}",5 dakika,['blender'],170 kcal
Pesketaryen Ton Balıklı Noodle,pesketaryen beslenme,"{'ton balığı': '200g', 'noodle makarna': '200g', 'brokoli': '1 baş', 'havuç': '1 adet', 'soya sosu': '3 yemek kaşığı', 'susam yağı': '2 yemek kaşığı', 'sirke': '1 yemek kaşığı', 'zencefil': '1 çay kaşığı'}",30 dakika,"['tencere', 'bıçak']",310 kcal
